triangle_pos,triangle_color,pink_circle_pos,trials24.thisRepN,trials24.thisTrialN,trials24.thisN,trials24.thisIndex,thisRow.t,notes,trial.started,fixation.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,10,10,15,22.859451917000115,,22.850596417003544,22.859451917000115,23.856762916984735,23.856762916984735,23.856762916984735,23.856762916984735,23.856762916984735,23.856762916984735,23.856762916984735,23.856762916984735,1.006365499983076,23.856762916984735,24.8167305829993,-0.1811111111111111,0.14666666666666667,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0, -0.25)",p,0.0,0,11,11,20,24.8261346250074,,24.817508207983337,24.8261346250074,25.823205916996812,25.823205916996812,25.823205916996812,25.823205916996812,25.823205916996812,25.823205916996812,25.823205916996812,25.823205916996812,1.005905416997848,25.823205916996812,26.449995167000452,-0.0077777777777777776,-0.2833333333333333,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.1875, 0.1875)",p,0.0,0,12,12,17,26.459624749986688,,26.45074858298176,26.459624749986688,27.456485250004334,27.456485250004334,27.456485250004334,27.456485250004334,27.456485250004334,27.456485250004334,27.456485250004334,27.456485250004334,1.005924834025791,27.456485250004334,28.116524207987823,0.16444444444444445,0.15222222222222223,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,13,13,14,28.12624179199338,,28.11727562500164,28.12624179199338,29.12224291698658,29.12224291698658,29.12224291698658,29.12224291698658,29.12224291698658,29.12224291698658,29.12224291698658,29.12224291698658,1.0051625409978442,29.12224291698658,29.95018912499654,-0.24555555555555555,-0.03,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,14,14,9,29.959809124993626,,29.95094120799331,29.959809124993626,30.95700024999678,30.95700024999678,30.95700024999678,30.95700024999678,30.95700024999678,30.95700024999678,30.95700024999678,30.95700024999678,1.006252332997974,30.95700024999678,31.80023195798276,0.17666666666666667,0.14222222222222222,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0, 0.25)",p,0.0,0,15,15,16,31.809764542005723,,31.800991708005313,31.809764542005723,32.80720354200457,32.80720354200457,32.80720354200457,32.80720354200457,32.80720354200457,32.80720354200457,32.80720354200457,32.80720354200457,1.0064044159953482,32.80720354200457,33.43426895799348,0.011111111111111112,0.21666666666666667,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0, -0.25)",g,0.0,0,16,16,4,33.44340808299603,,33.43502904198249,33.44340808299603,34.44079595798394,34.44079595798394,34.44079595798394,34.44079595798394,34.44079595798394,34.44079595798394,34.44079595798394,34.44079595798394,1.005948999983957,34.44079595798394,35.09997654199833,-0.0022222222222222222,-0.25555555555555554,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0, 0.25)",g,0.0,0,17,17,0,35.10989133300609,,35.10074720799457,35.10989133300609,36.10692508300417,36.10692508300417,36.10692508300417,36.10692508300417,36.10692508300417,36.10692508300417,36.10692508300417,36.10692508300417,1.0063743340142537,36.10692508300417,36.750639083009446,-0.008888888888888889,0.21555555555555556,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.25, 0)",p,0.0,0,18,18,22,36.759765541995876,,36.75140612499672,36.759765541995876,37.75721691700164,37.75721691700164,37.75721691700164,37.75721691700164,37.75721691700164,37.75721691700164,37.75721691700164,37.75721691700164,1.006005584000377,37.75721691700164,38.45029366700328,-0.25222222222222224,-0.015555555555555555,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.1875, -0.1875)",g,0.0,0,19,19,3,38.4600312919938,,38.451050167001085,38.4600312919938,39.457824874989456,39.457824874989456,39.457824874989456,39.457824874989456,39.457824874989456,39.457824874989456,39.457824874989456,39.457824874989456,1.006971082999371,39.457824874989456,40.200434625003254,0.18888888888888888,-0.17,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.1875, 0.1875)",g,0.0,0,20,20,7,40.21012062500813,,40.20120045798831,40.21012062500813,41.207460292003816,41.207460292003816,41.207460292003816,41.207460292003816,41.207460292003816,41.207460292003816,41.207460292003816,41.207460292003816,1.0064462089794688,41.207460292003816,42.01766891698935,-0.1688888888888889,0.16333333333333333,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.25, 0)",g,0.0,0,21,21,2,42.026631124987034,,42.01844916699338,42.026631124987034,43.02453329198761,43.02453329198761,43.02453329198761,43.02453329198761,43.02453329198761,43.02453329198761,43.02453329198761,43.02453329198761,1.0062793749966659,43.02453329198761,44.750614874996245,0.2288888888888889,-0.014444444444444444,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(0.1875, 0.1875)",g,0.0,0,22,22,1,44.760271457984345,,44.75138170798891,44.760271457984345,45.75797174999025,45.75797174999025,45.75797174999025,45.75797174999025,45.75797174999025,45.75797174999025,45.75797174999025,45.75797174999025,1.0067932500096504,45.75797174999025,46.60043649998261,0.21333333333333335,0.15222222222222223,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
"(-0.1875, -0.1875)",g,0.0,0,23,23,5,46.610360791994026,,46.601205457991455,46.610360791994026,47.60795695800334,47.60795695800334,47.60795695800334,47.60795695800334,47.60795695800334,47.60795695800334,47.60795695800334,47.60795695800334,1.0069507909938693,47.60795695800334,48.43437683299999,-0.17444444444444446,-0.19,1,0,0,[],091939,001,2024-05-04_14h59.53.363,creatingimages,2024.1.4,None,2024-05-04 14h59.59.770818 -0400,
