triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,builder_attempt.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,builder_attempt.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0, 0.25)",p,0.0,0,9,9,16,21.57962958299322,,,,,,,,,21.555281582986936,0.004522208007983863,22.564293208008166,22.564293208008166,22.564293208008166,22.564293208008166,22.564293208008166,22.564293208008166,22.564293208008166,22.564293208008166,23.487828458019067,-0.005787037037037037,0.24768518518518517,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.1875, -0.1875)",p,0.0,0,10,10,19,23.497213374997955,,,,,,,,,23.488476041995455,0.004468541999813169,24.497126166999806,24.497126166999806,24.497126166999806,24.497126166999806,24.497126166999806,24.497126166999806,24.497126166999806,24.497126166999806,25.50510458298959,0.17939814814814814,-0.19791666666666666,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0, 0.25)",g,0.0,0,11,11,0,25.516329167003278,,,,,,,,,25.505827374989167,0.004661832994315773,26.51304616703419,26.51304616703419,26.51304616703419,26.51304616703419,26.51304616703419,26.51304616703419,26.51304616703419,26.51304616703419,27.521580458036624,-0.0023148148148148147,0.2175925925925926,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.1875, -0.1875)",g,"(-0.25, 0)",0,12,12,13,27.547321041987743,,,,,,,,,27.522308374987915,0.004485415993258357,28.53010912501486,28.53010912501486,28.53010912501486,28.53010912501486,28.53010912501486,28.53010912501486,28.53010912501486,28.53010912501486,29.55467891698936,-0.16782407407407407,-0.22453703703703703,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.1875, 0.1875)",p,0.0,0,13,13,17,29.56413925002562,,,,,,,,,29.555396167037543,0.004507042001932859,30.563486083003227,30.563486083003227,30.563486083003227,30.563486083003227,30.563486083003227,30.563486083003227,30.563486083003227,30.563486083003227,31.524084500037134,0.17708333333333334,0.14467592592592593,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.1875, 0.1875)",g,0.0,0,14,14,7,31.534127500024624,,,,,,,,,31.524761707987636,0.0045624999911524355,32.52961658302229,32.52961658302229,32.52961658302229,32.52961658302229,32.52961658302229,32.52961658302229,32.52961658302229,32.52961658302229,33.405175791995134,-0.18055555555555555,0.1875,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,15,15,12,33.43094954203116,,,,,,,,,33.40588779200334,0.004524666001088917,34.413816792017315,34.413816792017315,34.413816792017315,34.413816792017315,34.413816792017315,34.413816792017315,34.413816792017315,34.413816792017315,35.521738999988884,0.017361111111111112,-0.29398148148148145,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.1875, 0.1875)",g,0.0,0,16,16,1,35.54788062500302,,,,,,,,,35.52244666701881,0.004576666979119182,36.53066799999215,36.53066799999215,36.53066799999215,36.53066799999215,36.53066799999215,36.53066799999215,36.53066799999215,36.53066799999215,37.62201808299869,0.16087962962962962,0.1412037037037037,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,17,17,10,37.64698658301495,,,,,,,,,37.62268212501658,0.004542750015389174,38.63068070798181,38.63068070798181,38.63068070798181,38.63068070798181,38.63068070798181,38.63068070798181,38.63068070798181,38.63068070798181,40.22188541700598,0.25578703703703703,-0.024305555555555556,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.25, 0)",p,0.0,0,18,18,22,40.231234707986005,,,,,,,,,40.222526249999646,0.004521708004176617,41.220148833002895,41.220148833002895,41.220148833002895,41.220148833002895,41.220148833002895,41.220148833002895,41.220148833002895,41.220148833002895,42.20586445799563,-0.24074074074074073,-0.041666666666666664,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.25, 0)",g,0.0,0,19,19,6,42.23073954199208,,,,,,,,,42.20654604199808,0.004487375030294061,43.213661167013925,43.213661167013925,43.213661167013925,43.213661167013925,43.213661167013925,43.213661167013925,43.213661167013925,43.213661167013925,44.57269262499176,-0.21180555555555555,-0.028935185185185185,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.25, 0)",p,0.0,0,20,20,18,44.585273000004236,,,,,,,,,44.57339612499345,0.004517082998063415,45.58107483299682,45.58107483299682,45.58107483299682,45.58107483299682,45.58107483299682,45.58107483299682,45.58107483299682,45.58107483299682,46.2890163330012,0.25462962962962965,-0.009259259259259259,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0, -0.25)",p,0.0,0,21,21,20,46.314081332995556,,,,,,,,,46.2896736250259,0.004529916972387582,47.296939917025156,47.296939917025156,47.296939917025156,47.296939917025156,47.296939917025156,47.296939917025156,47.296939917025156,47.296939917025156,51.97273529198719,0.010416666666666666,-0.2511574074074074,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(0.25, 0)",g,0.0,0,22,22,2,51.997723957989365,,,,,,,,,51.9734102920047,0.004564834001939744,53.09181041701231,53.09181041701231,53.09181041701231,53.09181041701231,53.09181041701231,53.09181041701231,53.09181041701231,53.09181041701231,53.95590591698419,0.24305555555555555,-0.02199074074074074,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
"(-0.1875, -0.1875)",g,0.0,0,23,23,5,53.98106554202968,,,,,,,,,53.956645958009176,0.004680417012423277,54.96483549999539,54.96483549999539,54.96483549999539,54.96483549999539,54.96483549999539,54.96483549999539,54.96483549999539,54.96483549999539,55.68912320799427,-0.1886574074074074,-0.19444444444444445,1,0,0,[1],triangle1,,,,,,,,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.68969641701551,55.69758679199731,55.69758679199731,57.038838708016556,space,1.335251957993023,None,759604,001,2024-05-05_23h09.39.422,creatingimagesNEW,2024.1.4,None,2024-05-05 23h09.46.750361 -0400,
