triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome_Page.started,textWelcomePage.started,key_resp.started,Welcome_Page.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,fixation.started,mouse.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,mouse.clicked_name,End_Routine.started,End_Text.started,key_resp_2.started,End_Routine.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(-0.25, 0)",g,"(0.1875, -0.1875)",0,13,13,14,38.09304979100125,,,,,,,,,38.06836979096988,38.09304979100125,0.004464207973796874,39.07375499996124,39.07375499996124,39.07375499996124,39.07375499996124,39.07375499996124,39.07375499996124,39.07375499996124,39.07375499996124,39.093548415985424,39.95124087500153,-0.2488425925925926,-0.028935185185185185,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.1875, 0.1875)",p,0.0,0,14,14,17,39.97654999996303,,,,,,,,,39.951902083004825,39.97654999996303,0.0044369170209392905,40.957261457981076,40.957261457981076,40.957261457981076,40.957261457981076,40.957261457981076,40.957261457981076,40.957261457981076,40.957261457981076,40.97708662500372,41.80182079097722,0.1863425925925926,0.16782407407407407,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0, -0.25)",p,0.0,0,15,15,20,41.813747583015356,,,,,,,,,41.80255099997157,41.813747583015356,0.004579292028211057,42.80840829096269,42.80840829096269,42.80840829096269,42.80840829096269,42.80840829096269,42.80840829096269,42.80840829096269,42.80840829096269,42.818394874979276,43.534700124990195,-0.005787037037037037,-0.23726851851851852,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,16,16,9,43.547260291001294,,,,,,,,,43.53539087501122,43.547260291001294,0.004453959001693875,44.54097762500169,44.54097762500169,44.54097762500169,44.54097762500169,44.54097762500169,44.54097762500169,44.54097762500169,44.54097762500169,44.550352290971205,45.534524915972725,0.16782407407407407,0.1423611111111111,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.25, 0)",p,0.0,0,17,17,22,45.56029862497235,,,,,,,,,45.535186833003536,45.56029862497235,0.004487166996113956,46.54079549998278,46.54079549998278,46.54079549998278,46.54079549998278,46.54079549998278,46.54079549998278,46.54079549998278,46.54079549998278,46.55984979099594,47.28548550000414,-0.2337962962962963,0.013888888888888888,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,18,18,8,47.296466541010886,,,,,,,,,47.28615975001594,47.296466541010886,0.004448542022146285,48.291204957989976,48.291204957989976,48.291204957989976,48.291204957989976,48.291204957989976,48.291204957989976,48.291204957989976,48.291204957989976,48.30109324998921,49.051767500001006,0.015046296296296295,0.22569444444444445,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,19,19,12,49.063517250004224,,,,,,,,,49.052420791005716,49.063517250004224,0.004484541015699506,50.0562372909626,50.0562372909626,50.0562372909626,50.0562372909626,50.0562372909626,50.0562372909626,50.0562372909626,50.0562372909626,50.06500112498179,50.88544579100562,0.008101851851851851,-0.25462962962962965,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.1875, 0.1875)",p,0.0,0,20,20,23,50.89666483300971,,,,,,,,,50.88613929098938,50.89666483300971,0.004539208021014929,51.89049908297602,51.89049908297602,51.89049908297602,51.89049908297602,51.89049908297602,51.89049908297602,51.89049908297602,51.89049908297602,51.89928183297161,53.75180620799074,-0.18287037037037038,0.16898148148148148,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(-0.1875, -0.1875)",p,0.0,0,21,21,21,53.77706579101505,,,,,,,,,53.752519625006244,53.77706579101505,0.0044676249963231385,54.75830741599202,54.75830741599202,54.75830741599202,54.75830741599202,54.75830741599202,54.75830741599202,54.75830741599202,54.75830741599202,54.77833479101537,55.5521745000151,-0.1736111111111111,-0.21643518518518517,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,22,22,10,55.56403820798732,,,,,,,,,55.55285149998963,55.56403820798732,0.0044839580077677965,56.55660554097267,56.55660554097267,56.55660554097267,56.55660554097267,56.55660554097267,56.55660554097267,56.55660554097267,56.55660554097267,56.56520658300724,57.33555104100378,0.23842592592592593,-0.04050925925925926,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
"(0.25, 0)",g,0.0,0,23,23,2,57.34782545798225,,,,,,,,,57.336226082989015,57.34782545798225,0.0045277910539880395,58.3421011249884,58.3421011249884,58.3421011249884,58.3421011249884,58.3421011249884,58.3421011249884,58.3421011249884,58.3421011249884,58.35222854098538,59.11863799998537,0.24537037037037038,-0.009259259259259259,1,0,0,[1],triangle1,,,,,,,,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1192245829734,59.12707724998472,59.12707724998472,61.63818495796295,space,2.4852842079708353,None,879785,001,2024-05-05_17h23.14.303,creatingimagesNEW,2024.1.4,None,2024-05-05 17h23.22.305727 -0400,
