triangle_pos,triangle_color,pink_circle_pos,trials24.thisRepN,trials24.thisTrialN,trials24.thisN,trials24.thisIndex,thisRow.t,notes,trial.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(0.1875, 0.1875)",g,"(0, -0.25)",0,10,10,9,6.919520708004711,,6.9057139579963405,6.919520708004711,6.919520708004711,6.919520708004711,6.919520708004711,6.919520708004711,6.919520708004711,6.919520708004711,6.919520708004711,0.004537250002613291,7.155001665989403,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.25, 0)",g,0.0,0,11,11,2,7.169924040994374,,7.1557901249907445,7.169924040994374,7.169924040994374,7.169924040994374,7.169924040994374,7.169924040994374,7.169924040994374,7.169924040994374,7.169924040994374,0.004501999996136874,7.40495645799092,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0, -0.25)",g,0.0,0,12,12,4,7.419246165984077,,7.405718249996426,7.419246165984077,7.419246165984077,7.419246165984077,7.419246165984077,7.419246165984077,7.419246165984077,7.419246165984077,7.419246165984077,0.004519332986092195,7.6543807910056785,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.1875, 0.1875)",p,0.0,0,13,13,23,7.668689582991647,,7.655141708004521,7.668689582991647,7.668689582991647,7.668689582991647,7.668689582991647,7.668689582991647,7.668689582991647,7.668689582991647,7.668689582991647,0.00445858298917301,7.937702208000701,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.1875, -0.1875)",g,0.0,0,14,14,3,7.952411332982592,,7.938463290978689,7.952411332982592,7.952411332982592,7.952411332982592,7.952411332982592,7.952411332982592,7.952411332982592,7.952411332982592,7.952411332982592,0.004654958000173792,8.18869562499458,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,15,15,12,8.202773083001375,,8.189469082979485,8.202773083001375,8.202773083001375,8.202773083001375,8.202773083001375,8.202773083001375,8.202773083001375,8.202773083001375,8.202773083001375,0.004530124977463856,8.422213207988534,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.25, 0)",p,0.0,0,16,16,22,8.436418915982358,,8.422990499995649,8.436418915982358,8.436418915982358,8.436418915982358,8.436418915982358,8.436418915982358,8.436418915982358,8.436418915982358,8.436418915982358,0.004509082995355129,8.654932665987872,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0.1875, -0.1875)",p,0.0,0,17,17,19,8.669391540985089,,8.655696125002578,8.669391540985089,8.669391540985089,8.669391540985089,8.669391540985089,8.669391540985089,8.669391540985089,8.669391540985089,8.669391540985089,0.004351874988060445,8.904633708007168,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.25, 0)",g,0.0,0,18,18,6,8.919632375007495,,8.905399832990952,8.919632375007495,8.919632375007495,8.919632375007495,8.919632375007495,8.919632375007495,8.919632375007495,8.919632375007495,8.919632375007495,0.004675124975619838,9.154837040987331,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.1875, -0.1875)",p,0.0,0,19,19,21,9.168938791000983,,9.155623500002548,9.168938791000983,9.168938791000983,9.168938791000983,9.168938791000983,9.168938791000983,9.168938791000983,9.168938791000983,9.168938791000983,0.004624916997272521,9.387997999991057,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0, 0.25)",g,0.0,0,20,20,0,9.402225500001805,,9.388767875003396,9.402225500001805,9.402225500001805,9.402225500001805,9.402225500001805,9.402225500001805,9.402225500001805,9.402225500001805,9.402225500001805,0.004607665992807597,9.637948832998518,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.1875, -0.1875)",g,0.0,0,21,21,5,9.65336912497878,,9.638736416003667,9.65336912497878,9.65336912497878,9.65336912497878,9.65336912497878,9.65336912497878,9.65336912497878,9.65336912497878,9.65336912497878,0.004606708011124283,9.921231124986662,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(-0.1875, 0.1875)",g,0.0,0,22,22,7,9.937113332998706,,9.922003707994008,9.937113332998706,9.937113332998706,9.937113332998706,9.937113332998706,9.937113332998706,9.937113332998706,9.937113332998706,9.937113332998706,0.004670124995755032,10.171560957998736,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,23,23,8,10.186244582990184,,10.1723328329972,10.186244582990184,10.186244582990184,10.186244582990184,10.186244582990184,10.186244582990184,10.186244582990184,10.186244582990184,10.186244582990184,0.004612249991623685,10.421209499996621,0.17222222222222222,0.18666666666666668,1,0,0,[],025585,001,2024-05-04_14h50.52.282,creatingimages,2024.1.4,None,2024-05-04 14h50.58.480567 -0400,
