triangle_pos,triangle_color,pink_circle_pos,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,circle1.started,circle2.started,circle3.started,circle4.started,circle5.started,circle6.started,circle7.started,triangle1.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"(-0.1875, -0.1875)",g,0.0,0,10,10,5,24.57110504200682,,24.546520292002242,24.57110504200682,25.55317699999432,25.55317699999432,25.55317699999432,25.55317699999432,25.55317699999432,25.55317699999432,25.55317699999432,25.55317699999432,1.0068393330147956,25.574875042017084,26.27970029201242,-0.18,-0.20333333333333334,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.1875, 0.1875)",p,0.0,0,11,11,17,26.304347958008293,,26.280299583013402,26.304347958008293,27.286670292000053,27.286670292000053,27.286670292000053,27.286670292000053,27.286670292000053,27.286670292000053,27.286670292000053,27.286670292000053,1.0065566250123084,27.307781458017416,28.596397125016665,0.2,0.18333333333333332,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0, 0.25)",p,0.0,0,12,12,16,28.621181208000053,,28.597016000014264,28.621181208000053,29.60380250000162,29.60380250000162,29.60380250000162,29.60380250000162,29.60380250000162,29.60380250000162,29.60380250000162,29.60380250000162,1.006965707987547,29.61421374999918,30.346436916996026,0.012222222222222223,0.23222222222222222,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.1875, -0.1875)",g,"(0.25, 0)",0,13,13,11,30.371294125012355,,30.347062333021313,30.371294125012355,31.35248604201479,31.35248604201479,31.35248604201479,31.35248604201479,31.35248604201479,31.35248604201479,31.35248604201479,31.35248604201479,1.0056145830021705,31.372467792010866,32.24614412500523,0.18888888888888888,-0.20222222222222222,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.25, 0)",g,0.0,0,14,14,2,32.27124033300788,,32.24676316700061,32.27124033300788,33.253515999997035,33.253515999997035,33.253515999997035,33.253515999997035,33.253515999997035,33.253515999997035,33.253515999997035,33.253515999997035,1.0069347920070868,33.27464245801093,33.99648724999861,0.25666666666666665,0.006666666666666667,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.1875, 0.1875)",g,0.0,0,15,15,7,34.02125650001108,,33.997109332995024,34.02125650001108,35.003254417009884,35.003254417009884,35.003254417009884,35.003254417009884,35.003254417009884,35.003254417009884,35.003254417009884,35.003254417009884,1.006327582988888,35.02514629199868,35.713254583009984,-0.17666666666666667,0.14444444444444443,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.1875, -0.1875)",g,0.0,0,16,16,3,35.73823420799454,,35.713918374996865,35.73823420799454,36.72084087500116,36.72084087500116,36.72084087500116,36.72084087500116,36.72084087500116,36.72084087500116,36.72084087500116,36.72084087500116,1.0071393339894712,36.73168662501848,37.46391266700812,0.17777777777777778,-0.17777777777777778,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0, -0.25)",g,0.0,0,17,17,4,37.47412749999785,,37.464535167004215,37.47412749999785,38.47055608301889,38.47055608301889,38.47055608301889,38.47055608301889,38.47055608301889,38.47055608301889,38.47055608301889,38.47055608301889,1.006207041995367,38.48100491700461,39.28026050000335,0.01,-0.24888888888888888,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.1875, 0.1875)",g,"(0.1875, 0.1875)",0,18,18,15,39.29021200002171,,39.2808845420077,39.29021200002171,40.287017042021034,40.287017042021034,40.287017042021034,40.287017042021034,40.287017042021034,40.287017042021034,40.287017042021034,40.287017042021034,1.0063171660003718,40.297433667001314,41.04647962501622,-0.18555555555555556,0.16666666666666666,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0, 0.25)",g,"(-0.1875, -0.1875)",0,19,19,8,41.07166391701321,,41.0470900000073,41.07166391701321,42.05539091699757,42.05539091699757,42.05539091699757,42.05539091699757,42.05539091699757,42.05539091699757,42.05539091699757,42.05539091699757,1.0084882089868188,42.06563683299464,42.713170208007796,0.0022222222222222222,0.22666666666666666,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0, -0.25)",g,"(-0.1875, 0.1875)",0,20,20,12,42.738442958012456,,42.71379712500493,42.738442958012456,43.72062012500828,43.72062012500828,43.72062012500828,43.72062012500828,43.72062012500828,43.72062012500828,43.72062012500828,43.72062012500828,1.0070040420105215,43.74161450000247,44.64749895801651,-0.0011111111111111111,-0.24333333333333335,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(-0.1875, 0.1875)",p,0.0,0,21,21,23,44.657494917017175,,44.64817850000691,44.657494917017175,45.654583833005745,45.654583833005745,45.654583833005745,45.654583833005745,45.654583833005745,45.654583833005745,45.654583833005745,45.654583833005745,1.0065967080008704,45.66488479200052,46.330589292017976,-0.17444444444444446,0.14444444444444443,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.1875, -0.1875)",p,0.0,0,22,22,19,46.34141362502123,,46.33122550000553,46.34141362502123,47.338292917003855,47.338292917003855,47.338292917003855,47.338292917003855,47.338292917003855,47.338292917003855,47.338292917003855,47.338292917003855,1.0072723340126686,47.349187417014036,48.08010095800273,0.18,-0.2011111111111111,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
"(0.25, 0)",g,"(0, 0.25)",0,23,23,10,48.105152958014514,,48.08074816700537,48.105152958014514,49.088025583012495,49.088025583012495,49.088025583012495,49.088025583012495,49.088025583012495,49.088025583012495,49.088025583012495,49.088025583012495,1.007463000016287,49.09887458299636,49.7973787500232,0.2222222222222222,-0.016666666666666666,1,0,0,triangle1,100479,001,2024-05-04_16h24.11.500,creatingimagesNEW,2024.1.4,None,2024-05-04 16h24.20.178628 -0400,
